A,B , Total 
#GameDay
#KCvBOS ? 6 p.m. ET https://t.co/34qHJKW8pU,Sun Aug 28 21:07:27 BDT 2016
769914298508439552,RT @GaryLineker: Simone Zaza should be a good addition to the @premierleague especially if he takes @WestHamUtd penalties.,Sun Aug 28 21:07:27 BDT 2016
769914298613268480,wooowww what a goal by raheem sterling
  #MCIWHU,Sun Aug 28 21:07:27 BDT 2016
769914298726490112,RT @ManCity: 6. City on the front foot here! Great start from the Blues who are taking it to the Hammers at the moment! #cityvwhu https://t?,Sun Aug 28 21:07:27 BDT 2016
769914298973974528,RT @ManCity: 6. City on the front foot here! Great start from the Blues who are taking it to the Hammers at the moment! #cityvwhu https://t?,Sun Aug 28 21:07:27 BDT 2016
769914298688757760,West ham struggling #SSFootball #MCIWHU and just like that they go 1 down @SuperSportTV,Sun Aug 28 21:07:27 BDT 2016
769914299141632000,GOAAALL STERLING ! @ManCity,Sun Aug 28 21:07:27 BDT 2016
769914299418423296,That was so pretty. #MCFC,Sun Aug 28 21:07:27 BDT 2016
769914299720560640,GOAL - Sterling
ASSIST - Nolito 

Man City 1-0 West Ham

#MCIWHU #FPL,Sun Aug 28 21:07:28 BDT 2016
769914300416667648,RT @TSBible: Come on lads someone give us a goal! #MCIWHU,Sun Aug 28 21:07:28 BDT 2016
769914300802621440,going to be a Loooooooong day  
#WestHam,Sun Aug 28 21:07:28 BDT 2016
769914300886618112,Well, that was coming. Sterling scores, 6mins in and the hosts have been utterly, utterly dominant. So easy for them. #MCIWHU,Sun Aug 28 21:07:28 BDT 2016
769914300764983296,Well, that was coming. Sterling scores, 6mins in and the hosts have been utterly, utterly dominant. So easy for them. #MCIWHU,Sun Aug 28 21:07:28 BDT 2016
769914302681780224,FUCKING YESSSS STERLING!!!! @sterling7 ?????? Fantastic football!! #MCFC,Sun Aug 28 21:07:28 BDT 2016
769914303440879616,@WestHamUtd @PapiCheikhou Awful,Sun Aug 28 21:07:28 BDT 2016
769914303810007040,Oh my Silva. You beautiful man. #mcfc,Sun Aug 28 21:07:29 BDT 2016
769914304044806144,RT @jup1897: Thanks @SimoneZaza https://t.co/shKuNLuo6R,Sun Aug 28 21:07:29 BDT 2016
769914304174891008,This could easily be a cricket score #ManCity,Sun Aug 28 21:07:29 BDT 2016
769914304023912448,GOAL STERLING! 1-0! 

What a fantastic goal, Nolito gets played through on the left, he picks our Sterling who finishes. #MCFC #WHUFC,Sun Aug 28 21:07:29 BDT 2016
769914306267709441,Pent! #mcfc,Sun Aug 28 21:07:29 BDT 2016
769914306406256640,Oh fuck off @WestHamUtd fucking shit cunts hope you get relegated,Sun Aug 28 21:07:29 BDT 2016
769914308645957632,RT @ManUtd1__: Manchester City vs West Ham

Watch #mcfc #cityvwhu Free Live Stream Here: https://t.co/j57o0oY9e7 https://t.co/3A0jdn53dU,Sun Aug 28 21:07:30 BDT 2016
769914309061251076,RT @ShrewsburyPCSO: So, new standard issue uniform is being tested out #OhISay https://t.co/0kGDgee1UO,Sun Aug 28 21:07:30 BDT 2016
769914309837193216,City just too good ??#MCIWHU,Sun Aug 28 21:07:30 BDT 2016
769914310244044801,Manchester City v WestHam Live Stream: https://t.co/RSeqj4uDVM      #football #voetball #goals  #PremierLeague #cityvwhu

47599,Sun Aug 28 21:07:30 BDT 2016
769914310378319872,RT @GulbenEreli: Manchester City v West Ham United

